FIELD	QMC	ST	DATE	TIME	var_field
52685964	7	80	30.05.2025	08:58:48	52685,964
52685387	8	80	30.05.2025	08:58:54	52685,387
52684549	7	80	30.05.2025	08:59:00	52684,549
52684680	8	80	30.05.2025	08:59:06	52684,68
52685967	8	80	30.05.2025	08:59:12	52685,967
52678660	7	80	30.05.2025	08:59:18	52678,66
52676421	8	80	30.05.2025	08:59:24	52676,421
52675585	7	80	30.05.2025	08:59:30	52675,585
52672946	8	80	30.05.2025	08:59:36	52672,946
52669668	7	80	30.05.2025	08:59:42	52669,668
52669350	7	80	30.05.2025	08:59:48	52669,35
52667598	8	80	30.05.2025	08:59:54	52667,598
52670322	7	80	30.05.2025	09:00:00	52670,322
52671437	7	80	30.05.2025	09:00:06	52671,437
52671905	7	80	30.05.2025	09:00:12	52671,905
52670324	8	80	30.05.2025	09:00:18	52670,324
52668734	7	80	30.05.2025	09:00:24	52668,734
52669003	8	80	30.05.2025	09:00:30	52669,003
52668396	7	80	30.05.2025	09:00:36	52668,396
52663994	8	80	30.05.2025	09:00:42	52663,994
52659682	7	80	30.05.2025	09:00:48	52659,682
52659635	8	80	30.05.2025	09:00:54	52659,635
52657306	8	80	30.05.2025	09:01:00	52657,306
52654740	7	80	30.05.2025	09:01:06	52654,74
52644772	8	80	30.05.2025	09:01:12	52644,772
52640579	7	80	30.05.2025	09:01:18	52640,579
52638644	7	80	30.05.2025	09:01:24	52638,644
52641696	7	80	30.05.2025	09:01:30	52641,696
52642240	7	80	30.05.2025	09:01:36	52642,24
52650124	7	80	30.05.2025	09:01:42	52650,124
52647903	7	80	30.05.2025	09:01:48	52647,903
52665715	7	80	30.05.2025	09:01:54	52665,715
52677823	8	80	30.05.2025	09:02:00	52677,823
52675817	8	80	30.05.2025	09:02:06	52675,817
52673679	7	80	30.05.2025	09:02:12	52673,679
52672353	7	80	30.05.2025	09:02:18	52672,353
52671083	8	80	30.05.2025	09:02:24	52671,083
52672137	7	80	30.05.2025	09:02:30	52672,137
52670732	8	80	30.05.2025	09:02:36	52670,732
52672039	7	80	30.05.2025	09:02:42	52672,039
52672689	8	80	30.05.2025	09:02:48	52672,689
52666960	7	80	30.05.2025	09:02:54	52666,96
52668302	7	80	30.05.2025	09:03:00	52668,302
52668672	7	80	30.05.2025	09:03:06	52668,672
52667531	7	80	30.05.2025	09:03:12	52667,531
52666208	8	80	30.05.2025	09:03:18	52666,208
52664704	7	80	30.05.2025	09:03:24	52664,704
52665433	8	80	30.05.2025	09:03:30	52665,433
52662150	7	80	30.05.2025	09:03:36	52662,15
52670710	8	80	30.05.2025	09:03:42	52670,71
52666842	8	80	30.05.2025	09:03:48	52666,842
52667201	7	80	30.05.2025	09:03:54	52667,201
52664878	7	80	30.05.2025	09:04:00	52664,878
52664105	7	80	30.05.2025	09:04:06	52664,105
52666841	7	80	30.05.2025	09:04:12	52666,841
52666394	7	80	30.05.2025	09:04:18	52666,394
52667848	8	80	30.05.2025	09:04:24	52667,848
52666718	7	80	30.05.2025	09:04:30	52666,718
52666266	7	80	30.05.2025	09:04:36	52666,266
52662000	7	80	30.05.2025	09:04:42	52662
52658524	8	80	30.05.2025	09:04:48	52658,524
52660086	8	80	30.05.2025	09:04:54	52660,086
52664268	7	80	30.05.2025	09:05:00	52664,268
52665764	7	80	30.05.2025	09:05:06	52665,764
52662994	8	80	30.05.2025	09:05:12	52662,994
52667620	7	80	30.05.2025	09:05:18	52667,62
52665054	8	80	30.05.2025	09:05:24	52665,054
52665339	7	80	30.05.2025	09:05:30	52665,339
52661863	7	80	30.05.2025	09:05:36	52661,863
52660383	7	80	30.05.2025	09:05:42	52660,383
52660409	8	80	30.05.2025	09:05:48	52660,409
52659097	7	80	30.05.2025	09:05:54	52659,097
52661766	7	80	30.05.2025	09:06:00	52661,766
52660482	8	80	30.05.2025	09:06:06	52660,482
52657920	8	80	30.05.2025	09:06:12	52657,92
52656042	7	80	30.05.2025	09:06:18	52656,042
52661383	7	80	30.05.2025	09:06:24	52661,383
52657370	7	80	30.05.2025	09:06:30	52657,37
52657089	7	80	30.05.2025	09:06:36	52657,089
52658096	7	80	30.05.2025	09:06:42	52658,096
52658213	7	80	30.05.2025	09:06:48	52658,213
52662946	7	80	30.05.2025	09:06:54	52662,946
52669797	7	80	30.05.2025	09:07:00	52669,797
52671183	8	80	30.05.2025	09:07:06	52671,183
52669827	7	80	30.05.2025	09:07:12	52669,827
52686354	7	80	30.05.2025	09:07:18	52686,354
52691861	7	80	30.05.2025	09:07:24	52691,861
52692309	7	80	30.05.2025	09:07:30	52692,309
52692071	7	80	30.05.2025	09:07:36	52692,071
52689188	7	80	30.05.2025	09:07:42	52689,188
52691537	8	80	30.05.2025	09:07:48	52691,537
52683825	7	80	30.05.2025	09:07:54	52683,825
52669802	7	80	30.05.2025	09:08:00	52669,802
52671104	7	80	30.05.2025	09:08:06	52671,104
52666273	7	80	30.05.2025	09:08:12	52666,273
52657046	7	80	30.05.2025	09:08:18	52657,046
52662648	7	80	30.05.2025	09:08:24	52662,648
52660026	8	80	30.05.2025	09:08:30	52660,026
52656419	8	80	30.05.2025	09:08:36	52656,419
52661181	7	80	30.05.2025	09:08:42	52661,181
52665683	7	80	30.05.2025	09:08:48	52665,683
52669208	8	80	30.05.2025	09:08:54	52669,208
52670650	8	80	30.05.2025	09:09:00	52670,65
52659334	7	80	30.05.2025	09:09:06	52659,334
52663160	8	80	30.05.2025	09:09:12	52663,16
52659052	8	80	30.05.2025	09:09:18	52659,052
52658050	7	80	30.05.2025	09:09:24	52658,05
52657760	8	80	30.05.2025	09:09:30	52657,76
52657000	7	80	30.05.2025	09:09:36	52657
52654790	8	80	30.05.2025	09:09:42	52654,79
52663168	7	80	30.05.2025	09:09:48	52663,168
52664553	7	80	30.05.2025	09:09:54	52664,553
