Line	pr	pk	X_end	Y_end	TIME	DATE	T_bottoom	T_top
58	58	1,864	364470.3057	6178534.516	11:52:17	02.06.2025	52891041	52835596
58	58	1,955	364470.3511	6178534.438	11:52:17	02.06.2025	52881893	52835772
58	58	2,045	364469.3853	6178536.084	11:52:17	02.06.2025	52850211	52836344
58	58	2,136	364469.4312	6178536.006	11:52:17	02.06.2025	52823249	52835983
58	58	2,227	364469.4771	6178535.927	11:52:17	02.06.2025	52802165	52836657
58	58	2,318	364469.5229	6178535.848	11:52:17	02.06.2025	52781843	52837047
58	58	2,409	364469.5688	6178535.77	11:52:17	02.06.2025	52757112	52837449
58	58	2,5	364469.6147	6178535.691	11:52:17	02.06.2025	52739363	52837775
58	58	2,591	364469.6606	6178535.613	11:52:17	02.06.2025	52775254	52838468
58	58	2,682	364469.7065	6178535.534	11:52:17	02.06.2025	52864402	52838816
58	58	2,773	364469.7524	6178535.456	11:52:18	02.06.2025	52891257	52839383
58	58	2,864	364469.7983	6178535.377	11:52:18	02.06.2025	52871376	52839539
58	58	2,955	364469.8437	6178535.299	11:52:18	02.06.2025	52858862	52839849
58	58	3,045	364468.8779	6178536.945	11:52:18	02.06.2025	52853683	52840066
58	58	3,136	364468.9238	6178536.867	11:52:18	02.06.2025	52853245	52840276
58	58	3,227	364468.9697	6178536.788	11:52:18	02.06.2025	52855593	52840522
58	58	3,318	364469.0156	6178536.71	11:52:18	02.06.2025	52853984	52840636
58	58	3,409	364469.0615	6178536.631	11:52:18	02.06.2025	52846324	52840987
58	58	3,5	364469.1074	6178536.552	11:52:18	02.06.2025	52841466	52840699
58	58	3,591	364469.1533	6178536.474	11:52:18	02.06.2025	52839397	52839956
58	58	3,682	364469.1992	6178536.395	11:52:19	02.06.2025	52838796	52840596
58	58	3,773	364469.2451	6178536.317	11:52:19	02.06.2025	52838686	52840196
58	58	3,864	364469.291	6178536.238	11:52:19	02.06.2025	52839707	52840977
58	58	3,955	364469.3364	6178536.16	11:52:19	02.06.2025	52842783	52841641
58	58	4,045	364468.3705	6178537.806	11:52:19	02.06.2025	52846512	52841267
58	58	4,136	364468.4164	6178537.728	11:52:19	02.06.2025	52844716	52841346
58	58	4,227	364468.4623	6178537.649	11:52:19	02.06.2025	52843096	52841211
58	58	4,318	364468.5082	6178537.571	11:52:19	02.06.2025	52843975	52841242
58	58	4,409	364468.5541	6178537.492	11:52:19	02.06.2025	52846564	52841091
58	58	4,5	364468.6	6178537.414	11:52:19	02.06.2025	52851635	52841030
58	58	4,591	364468.6459	6178537.335	11:52:20	02.06.2025	52858040	52840868
58	58	4,682	364468.6918	6178537.256	11:52:20	02.06.2025	52850100	52840802
58	58	4,773	364468.7377	6178537.178	11:52:20	02.06.2025	52836679	52840504
58	58	4,864	364468.7836	6178537.099	11:52:20	02.06.2025	52832911	52840773
58	58	4,955	364468.829	6178537.022	11:52:20	02.06.2025	52833371	52840891
58	58	5,045	364467.8632	6178538.668	11:52:20	02.06.2025	52834860	52840994
58	58	5,136	364467.9091	6178538.589	11:52:20	02.06.2025	52838192	52840797
58	58	5,227	364467.955	6178538.51	11:52:20	02.06.2025	52841906	52841403
58	58	5,318	364468.0009	6178538.432	11:52:20	02.06.2025	52843356	52841495
58	58	5,409	364468.0468	6178538.353	11:52:20	02.06.2025	52844717	52841557
58	58	5,5	364468.0927	6178538.275	11:52:21	02.06.2025	52845552	52841727
58	58	5,591	364468.1386	6178538.196	11:52:21	02.06.2025	52845215	52841660
58	58	5,682	364468.1845	6178538.118	11:52:21	02.06.2025	52842545	52841922
58	58	5,773	364468.2304	6178538.039	11:52:21	02.06.2025	52837582	52841360
58	58	5,864	364468.2763	6178537.96	11:52:21	02.06.2025	52837937	52841629
58	58	5,955	364468.3217	6178537.883	11:52:21	02.06.2025	52841395	52842501
58	58	6,045	364467.3558	6178539.529	11:52:21	02.06.2025	52843321	52843153
