FIELD	QMC	ST	DATE	TIME	var_field
52626044	7	80	02.06.2025	08:55:06	52626,044
52627701	7	80	02.06.2025	08:55:09	52627,701
52630576	7	80	02.06.2025	08:55:12	52630,576
52631506	7	80	02.06.2025	08:55:15	52631,506
52630303	7	80	02.06.2025	08:55:18	52630,303
52629417	7	80	02.06.2025	08:55:21	52629,417
52627683	7	80	02.06.2025	08:55:24	52627,683
52627400	7	80	02.06.2025	08:55:27	52627,4
52627118	7	80	02.06.2025	08:55:30	52627,118
52624850	7	80	02.06.2025	08:55:33	52624,85
52625282	7	80	02.06.2025	08:55:36	52625,282
52626056	7	80	02.06.2025	08:55:39	52626,056
52626855	7	80	02.06.2025	08:55:42	52626,855
52627967	7	80	02.06.2025	08:55:45	52627,967
52629093	7	80	02.06.2025	08:55:48	52629,093
52629703	7	80	02.06.2025	08:55:51	52629,703
52629032	7	80	02.06.2025	08:55:54	52629,032
52629070	7	80	02.06.2025	08:55:57	52629,07
52628616	7	80	02.06.2025	08:56:00	52628,616
52628863	7	80	02.06.2025	08:56:03	52628,863
52628474	7	80	02.06.2025	08:56:06	52628,474
52628836	7	80	02.06.2025	08:56:09	52628,836
52629115	7	80	02.06.2025	08:56:12	52629,115
52629798	7	80	02.06.2025	08:56:15	52629,798
52633005	7	80	02.06.2025	08:56:18	52633,005
52633462	7	80	02.06.2025	08:56:21	52633,462
52632666	7	80	02.06.2025	08:56:24	52632,666
52632761	7	80	02.06.2025	08:56:27	52632,761
52632704	7	80	02.06.2025	08:56:30	52632,704
52634041	7	80	02.06.2025	08:56:33	52634,041
52635013	7	80	02.06.2025	08:56:36	52635,013
52636297	7	80	02.06.2025	08:56:39	52636,297
52637176	7	80	02.06.2025	08:56:42	52637,176
52637946	7	80	02.06.2025	08:56:45	52637,946
52638885	7	80	02.06.2025	08:56:48	52638,885
52637869	7	80	02.06.2025	08:56:51	52637,869
52638391	7	80	02.06.2025	08:56:54	52638,391
52638631	7	80	02.06.2025	08:56:57	52638,631
52639686	7	80	02.06.2025	08:57:00	52639,686
52643572	7	80	02.06.2025	08:57:03	52643,572
52641581	7	80	02.06.2025	08:57:06	52641,581
52640377	7	80	02.06.2025	08:57:09	52640,377
52639899	7	80	02.06.2025	08:57:12	52639,899
52639875	7	80	02.06.2025	08:57:15	52639,875
52636494	7	80	02.06.2025	08:57:18	52636,494
52634508	7	80	02.06.2025	08:57:21	52634,508
52632279	7	80	02.06.2025	08:57:24	52632,279
52630131	7	80	02.06.2025	08:57:27	52630,131
52629905	7	80	02.06.2025	08:57:30	52629,905
52630054	7	80	02.06.2025	08:57:33	52630,054
52629762	7	80	02.06.2025	08:57:36	52629,762
52630390	7	80	02.06.2025	08:57:39	52630,39
52628244	7	80	02.06.2025	08:57:42	52628,244
52627964	7	80	02.06.2025	08:57:45	52627,964
52626873	7	80	02.06.2025	08:57:48	52626,873
52626154	7	80	02.06.2025	08:57:51	52626,154
52625503	7	80	02.06.2025	08:57:54	52625,503
52625219	7	80	02.06.2025	08:57:57	52625,219
52625549	7	80	02.06.2025	08:58:00	52625,549
52625911	6	80	02.06.2025	08:58:03	52625,911
52626464	7	80	02.06.2025	08:58:06	52626,464
52625206	7	80	02.06.2025	08:58:09	52625,206
52624488	7	80	02.06.2025	08:58:12	52624,488
52624434	7	80	02.06.2025	08:58:15	52624,434
52625944	7	80	02.06.2025	08:58:18	52625,944
52624043	7	80	02.06.2025	08:58:21	52624,043
52626448	7	80	02.06.2025	08:58:24	52626,448
52627222	7	80	02.06.2025	08:58:27	52627,222
52628686	7	80	02.06.2025	08:58:30	52628,686
52629151	7	80	02.06.2025	08:58:33	52629,151
52629232	7	80	02.06.2025	08:58:36	52629,232
52629489	7	80	02.06.2025	08:58:39	52629,489
52629995	7	80	02.06.2025	08:58:42	52629,995
52631340	7	80	02.06.2025	08:58:45	52631,34
